front,back
Benin,Porto Novo
Ghana,Accra
Togo,Lome
Burundi,Bujumbura
Zimbabwe,Harare
Ivory Coast,Yamoussoukro
Burkina Faso,Ouagadougou
Cameroon,Yaounde
Uganda,Kampala
Sierra Leone,Freetown
Comoros,Moroni
Kenya,Nairobi
Chad,N'Djamena
Mauritania,Nouakchott
Angola,Luanda
Zambia,Lusaka
Equatorial Guinea,Malabo
Democratic Republic of the Congo,Kinshasa
South Africa,Pretoria
Mauritius,Port Louis
Morocco,Rabat
Libya,Tripoli
Tunisia,Tunis
Seychelles,Victoria
Namibia,Windhoek
Central African Republic,Bangui
Mali,Bamako
Gabon,Libreville
Malawi,Lilongwe
Algeria,Algiers
Guinea-Bisseau,Bissau
Mozambique,Maputo
Lesotho,Maseru
Somalia,Mogadishu
Liberia,Monrovia
Swaziland,Mbabane
Cape Verde,Praia
Eritrea,Asmara
Madagascar,Antananarivo
Niger,Niamey
Rwanda,Kigali
Sudan,Khartoum
Djibouti,Djibouti
Nigeria,Abuja
Senegal,Dakar
Tanzania,Dar es Salaam
Western Sahara,La Youn
Egypt,Cairo
Congo,Brazzaville
Ethiopia,Addis Ababa
Gambia,Banjul
Guinea,Conakry
Botswana,Gaborone
