Date,Title,ISBN,Price
2023-04-26,The Obstacle is the Way,9781781251492,19.60
2023-04-05,Ultralearning,9780008305703,27.81
2023-04-05,The Hidden Tools of Comedy,9781615931408,39.35
2023-04-05,The Hidden Lives of Learners,9781877398247,38.59
2023-04-04,The Reading Mind - A Cognitive Approach to Understanding How the Mind Reads,9781119301370,33.83
2023-03-27,A Dictionary of Computer Science,9780199688975,27.88
2023-03-27,When Can You Trust the Experts? How to Tell Good Science from Bad in Education,9781118130278,29.30
2023-03-19,Understanding the Digital World,9780691219103,50.09
2023-03-15,Dopamine Nation,9781472294159,17.99
2023-02-28,From Strength to Strength,9781472989758,23.51
2023-02-28,Outsmart Your Brain,9781788167758,36.99
2023-02-25,Programming in Haskell,9781316626221,64.50
2023-01-05,Making Sense of God,9781444750218,18.41
2022-12-02,Beyond Infinity,9781781252864,21.38
2022-12-02,The Art of Logic,9781788160391,19.99
2022-10-30,Oxford Guide to Plain English,9780198844617,20.09
2022-10-29,Functional JavaScript,9781449360726,40.39
2022-10-28,The Man from the Future,9780241398869,25.00
2022-10-22,North: Finding My Way While Running the Appalachian Trail,9781784756710,21.15
2022-07-24,Orthodoxy,9780802456571,17.17
2022-06-29,Guesstimation,9780691129495,31.67
2022-05-15,Made to Stick,9780812982008,23.62
2022-03-28,The Family Guide to Getting Over OCD,9781462541362,27.75
2022-03-28,Overcoming Unwanted Intrusive Thoughts,9781626254343,21.41
2022-03-28,Everyday Mindfulness for OCD,9781626258921,24.04
2022-03-28,Needing to Know for Sure,9781684033706,28.14
2022-03-28,Rewire Your OCD Brain,9781684037186,30.26
2021-11-20,The Righteous Mind,9780141039169,26.99
2021-11-19,The Coddling of the American Mind,9780141986302,22.43
2021-11-13,Animal Farm,9780141036137,10.92
2021-11-13,Rationality,9780241380284,35.17
2021-11-08,Behave,9780099575061,28.72
2021-11-08,The Universe and Dr. Einstein,9780486445199,16.47
2021-11-04,The Moral Animal,9780679763994,30.67
2021-11-01,When Things Fall Apart: Heart Advice for Difficult Times,9780007183517,21.95
2021-11-01,Four Thousand Weeks,9781847924025,32.80
2021-11-01,Philosophical Method: A Very Short Introduction,9780198810001,21.01
2021-10-27,Into The Woods,9780141978109,21.99
2021-10-27,Faith Versus Fact,9780143108269,30.93
2021-10-27,The Joy of Living,9780553824438,23.26
2021-10-27,Waking Up,9781784160029,23.06
2021-10-27,The Miracle Of Mindfulness,9781846041068,13.89
2021-09-26,The Antidote,9781922147653,23.45
2021-09-21,How to Lie with Statistics,9780140136296,23.28
2021-09-21,Statistics Done Wrong,9781593276201,35.75
2021-09-14,Catholicism,9780307720528,25.62
2021-09-12,The Science of Storytelling,9780008276973,18.23
2021-09-12,Wired for Story,9781607742456,24.80
2021-09-12,Pixar Storytelling,9781717736406,26.01
2021-08-18,Writing to Learn,9780062720405,20.91
2021-08-18,How to Take Smart Notes,9781542866507,31.77
2021-08-18,The Seven Storey Mountain,9780156010863,28.32
2021-08-18,New Seeds of Contemplation,9780811217248,28.46
2021-07-29,Thinking,9780578854670,20.80
2021-07-26,The Power of Now,9780340733509,13.98
2021-07-22,Designing Your Life,9781784701178,19.58
2021-07-16,Uncommon Sense Teaching,9780593329733,30.50
2021-07-16,Mindshift,9781101982853,24.81
2021-07-13,Redirect,9780316051903,25.80
2021-07-11,The Everlasting Man,9780486460369,18.96
2021-07-11,Maybe You Should Talk to Someone,9781911617044,15.75
2021-06-28,A Mind for Numbers,9780399165245,25.06
2021-06-28,How to Read a Book,9780671212094,19.61
2021-06-28,Learn Like a Pro,9781250799371,24.38
2021-06-05,Ratio,9781416571728,18.46
2021-06-01,Tiny Habits,9780753553244,22.00
2021-06-01,"Good Habits, Bad Habits",9781509864768,18.19
2021-06-01,Atomic Habits,9781847941831,30.45
2021-06-01,The Power of Habit,9781847946249,19.88
2021-05-25,You'Re About to Make a Terrible Mistake!,9781800750005,30.81
2020-05-10,The Erotic Mind,9780060984281,29.26
2019-07-01,7 Habits Of Highly Effective People,9781416502494,15.83
2019-06-16,influence,9780061241895,19.17
2019-06-16,The State Of Affairs,9781473673540,23.06
2019-04-21,On Writing Well,9780060891541,19.88
2019-04-03,Bird by Bird,9780385480017,19.45
2019-03-10,Naive Set Theory,9780486814872,15.11
2018-09-22,Peak,9780099598473,16.70
2018-09-13,The Story of the Human Body,9780141399959,17.85
2018-09-13,Legacy,9781472103536,19.14
2018-09-10,Bullshit Jobs,9780241263884,30.13
2018-08-24,Doing Philosophy,9780198822516,18.10
2018-08-10,Strangers to Ourselves,9780674013827,33.02
2018-06-13,Never Split the Difference,9781847941497,14.35
2018-02-10,To Pixar and Beyond,9781786071866,14.05
2018-02-10,The Lean Startup,9780670921607,21.51
2018-01-31,The First Casualty,9780670079261,27.80
2017-12-04,"Salt, Fat, Acid, Heat",9781782112303,38.77
2017-05-18,Doughnut Economics,9781847941381,24.20
2017-05-12,The Wisdom Of Crowds,9780349116051,15.43
2017-05-12,Wiser,9781422122990,30.56
2017-04-06,The Enigma of Reason,9781846145575,37.45
2017-03-31,The Ethical Slut,9781587613371,19.43
2017-03-20,The Knowledge Illusion,9781509813070,29.53
2016-11-06,Nonviolent Communication: A Language of Life,9781892005281,22.20
2016-10-16,Sapiens,9780099590088,16.66
2016-09-15,More Than Two,9780991399703,30.13
2016-09-15,The Ethical Slut,9781587613371,19.60
2016-08-14,Saving Capitalism,9781785780677,20.41
2016-08-08,Nonviolent Communication: A Language of Life,9781892005281,23.41
2016-08-02,The Course of Love,9780241145487,21.82
2016-07-29,Sex at Dawn,9780061707810,15.08
2016-05-30,The Winner's Curse,9780691019345,31.32
2016-05-30,Grit,9781785040191,26.11
2016-05-26,Scarcity,9780141049199,17.04
2016-05-25,Simple Rules,9780544705203,21.12
2016-05-09,Misbehaving,9780241951224,16.97
2016-04-05,The Checklist Manifesto,9781846683145,13.85
2016-03-19,Modern PHP,9781491905012,28.52
2015-06-01,How Not to Be Wrong,9780143127536,16.56
2015-05-12,Reference and Existence,9780199928385,42.09
2015-05-11,Philosophical Troubles,9780199992928,36.06
2015-04-03,Tetralogue,9780198728887,17.96
2014-07-24,High Performance MySQL,9781449314286,46.39
2014-04-17,Intuition Pumps and Other Tools for Thinking,9780241954621,15.00
2014-04-17,Rationality Through Reasoning,9781118656051,41.82
2014-04-06,Modal Logic as Metaphysics,9780199552078,43.25
2013-10-29,jQuery Pocket Reference,9781449397227,12.25
