Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,No,Travel_Rarely,Sales,7,3,4,Male,2,Sales Executive,Married,5484,1,No,3,3,1,13,3,2,13,8,4,8
45,No,Non-Travel,Research & Development,1,1,3,Male,2,Healthcare Representative,Married,10748,3,No,4,4,1,25,3,2,23,15,14,4
24,Yes,Travel_Frequently,Research & Development,9,3,2,Male,3,Laboratory Technician,Single,3172,2,Yes,3,3,0,4,2,2,0,0,0,0
24,No,Non-Travel,Research & Development,9,3,3,Male,2,Laboratory Technician,Divorced,2694,1,No,3,3,3,1,4,3,1,0,0,0
21,No,Travel_Rarely,Research & Development,1,1,4,Female,2,Research Scientist,Single,2070,1,Yes,3,3,0,2,6,4,2,2,2,2
27,No,Travel_Rarely,Sales,23,1,2,Female,2,Sales Representative,Married,3540,1,No,4,4,1,9,5,3,9,8,5,8
39,Yes,Non-Travel,Research & Development,2,3,1,Female,2,Laboratory Technician,Single,3646,2,Yes,4,2,0,11,2,4,1,0,0,0
58,No,Travel_Rarely,Research & Development,9,3,2,Female,2,Research Scientist,Married,3346,4,Yes,4,2,1,9,3,2,1,0,0,0
42,No,Travel_Rarely,Sales,1,1,2,Male,3,Sales Executive,Married,4907,1,No,4,3,0,20,3,3,20,16,11,6
24,No,Travel_Rarely,Research & Development,1,2,2,Male,2,Healthcare Representative,Single,4617,1,No,3,2,0,4,2,2,4,3,1,2
34,No,Travel_Rarely,Sales,3,2,4,Female,1,Sales Executive,Single,6029,5,No,3,1,0,6,3,3,2,2,2,2
31,No,Travel_Frequently,Sales,2,4,4,Male,3,Sales Executive,Single,5332,7,No,3,4,0,10,3,3,5,2,0,3
29,No,Travel_Rarely,Research & Development,28,4,4,Female,2,Research Scientist,Single,3785,1,No,3,2,0,5,3,1,5,4,0,4
31,No,Travel_Rarely,Research & Development,9,1,3,Male,3,Manufacturing Director,Divorced,10648,1,No,4,4,1,13,6,4,13,8,0,8
35,No,Travel_Rarely,Sales,16,3,3,Male,3,Sales Executive,Married,8020,0,No,3,3,2,12,3,2,11,9,6,9
53,No,Travel_Rarely,Research & Development,24,4,2,Male,4,Healthcare Representative,Married,7005,3,No,3,3,0,11,2,3,4,3,1,2
50,No,Travel_Rarely,Research & Development,10,3,4,Male,2,Healthcare Representative,Single,10496,6,No,3,4,0,20,2,3,4,3,1,3
19,No,Travel_Rarely,Research & Development,3,1,2,Female,3,Laboratory Technician,Single,1483,1,No,3,4,0,1,3,3,1,0,0,0
29,No,Travel_Rarely,Research & Development,9,5,2,Male,2,Laboratory Technician,Single,3983,0,No,3,3,0,4,2,3,3,2,2,2
33,No,Non-Travel,Research & Development,1,2,2,Male,2,Laboratory Technician,Divorced,2008,1,No,3,3,3,1,2,2,1,1,0,0
36,No,Travel_Frequently,Sales,7,3,1,Female,4,Sales Executive,Married,4639,2,No,3,4,1,17,2,2,15,7,6,13
28,Yes,Travel_Rarely,Research & Development,17,3,3,Male,2,Laboratory Technician,Divorced,2367,5,No,3,1,1,6,2,2,4,1,0,3
41,No,Non-Travel,Human Resources,4,3,3,Male,1,Human Resources,Married,6430,6,No,3,2,1,10,4,3,3,2,1,2
39,No,Travel_Rarely,Sales,6,3,4,Male,4,Sales Executive,Married,8237,2,No,3,1,1,11,3,3,7,6,7,6
43,No,Travel_Frequently,Sales,26,2,3,Male,3,Manager,Married,16959,1,Yes,3,4,2,25,3,4,25,12,4,12
33,No,Non-Travel,Sales,17,3,4,Male,3,Manager,Single,17444,1,No,3,4,0,10,2,3,10,8,6,0
36,Yes,Travel_Rarely,Research & Development,9,3,4,Male,2,Research Scientist,Married,3388,0,Yes,3,1,1,2,0,2,1,0,0,0
30,No,Travel_Rarely,Research & Development,5,3,4,Female,3,Research Scientist,Divorced,3204,5,No,3,4,1,8,3,3,3,2,2,2
27,No,Travel_Rarely,Research & Development,5,1,3,Male,2,Research Director,Divorced,12808,1,Yes,3,2,1,9,3,3,9,8,0,8
28,No,Travel_Rarely,Sales,2,4,2,Female,3,Sales Executive,Married,4779,1,Yes,4,1,0,8,2,3,8,7,7,5
22,Yes,Travel_Rarely,Research & Development,8,1,3,Female,3,Laboratory Technician,Married,2398,1,Yes,3,3,0,1,6,3,1,0,0,0
29,No,Travel_Rarely,Research & Development,1,3,1,Female,3,Research Scientist,Divorced,3760,1,No,3,1,3,3,5,3,3,2,1,2
37,No,Travel_Rarely,Research & Development,3,3,4,Female,3,Healthcare Representative,Single,4107,3,No,3,1,0,8,3,2,4,3,0,1
30,No,Non-Travel,Sales,25,2,4,Female,3,Sales Executive,Married,4736,7,Yes,3,2,1,4,2,4,2,2,2,2
32,No,Travel_Rarely,Research & Development,2,3,4,Male,3,Research Scientist,Single,2439,1,No,3,4,0,4,4,3,4,2,1,2
44,No,Travel_Rarely,Human Resources,1,4,1,Female,2,Human Resources,Single,5985,4,No,3,2,0,10,1,4,2,2,0,2
44,No,Travel_Rarely,Research & Development,29,4,4,Male,3,Research Scientist,Single,4541,1,No,4,2,0,20,3,3,20,11,13,17
28,No,Travel_Rarely,Research & Development,9,3,4,Male,3,Research Scientist,Married,2070,1,No,4,4,1,5,3,2,5,2,0,4
38,No,Travel_Frequently,Research & Development,6,4,1,Male,2,Manufacturing Director,Married,5321,2,No,3,4,1,10,1,3,8,3,7,7
34,No,Travel_Rarely,Research & Development,6,4,1,Female,3,Research Scientist,Single,4809,1,No,3,3,0,16,3,3,16,13,2,10
42,No,Non-Travel,Research & Development,21,2,3,Female,3,Manufacturing Director,Divorced,5265,2,No,3,2,1,11,5,3,5,3,0,2
24,Yes,Travel_Rarely,Research & Development,1,3,2,Male,3,Research Scientist,Married,2293,2,Yes,3,1,1,6,2,2,2,0,2,0
42,No,Travel_Frequently,Sales,26,3,3,Female,3,Sales Executive,Married,13525,5,No,3,4,1,23,2,4,20,4,4,8
23,No,Travel_Rarely,Research & Development,12,2,4,Male,3,Laboratory Technician,Single,2647,1,No,3,3,0,5,6,4,5,2,1,4
33,No,Travel_Rarely,Research & Development,2,3,3,Male,3,Research Scientist,Single,2500,0,No,3,1,0,4,2,4,3,1,0,2
49,No,Travel_Frequently,Research & Development,8,1,3,Male,2,Research Scientist,Married,5130,1,No,4,4,1,10,3,3,10,7,1,7
36,No,Travel_Rarely,Research & Development,12,5,4,Female,2,Manufacturing Director,Single,8858,0,No,3,2,0,15,2,2,14,8,7,8
27,No,Travel_Rarely,Research & Development,2,4,1,Female,3,Manufacturing Director,Married,4227,0,No,3,2,1,4,2,3,3,2,2,2
44,No,Non-Travel,Research & Development,23,3,2,Male,3,Laboratory Technician,Married,2042,4,No,3,3,1,17,3,4,3,2,1,2
37,No,Travel_Rarely,Research & Development,10,3,3,Female,3,Laboratory Technician,Married,3452,6,No,4,2,1,17,3,3,5,4,0,3
36,No,Travel_Rarely,Research & Development,12,4,3,Female,3,Manufacturing Director,Married,4663,9,Yes,3,2,2,7,2,3,3,2,1,1
31,Yes,Travel_Rarely,Sales,13,4,2,Male,3,Sales Executive,Divorced,4233,2,No,3,3,0,9,2,1,3,1,1,2
43,No,Non-Travel,Research & Development,7,3,4,Male,4,Research Scientist,Divorced,2089,4,No,3,4,3,7,3,4,5,4,2,2
38,No,Travel_Rarely,Research & Development,9,2,3,Female,3,Laboratory Technician,Single,2288,1,No,3,3,0,2,3,3,2,2,2,1
31,No,Travel_Frequently,Sales,7,4,1,Female,3,Sales Executive,Married,9637,2,No,3,4,2,9,3,3,3,2,2,2
25,No,Travel_Rarely,Sales,13,1,2,Male,3,Sales Representative,Married,2096,1,No,3,3,0,7,1,3,7,4,0,6
38,No,Travel_Rarely,Sales,3,3,1,Male,3,Sales Executive,Divorced,10609,0,No,3,3,2,17,6,2,16,10,5,13
29,Yes,Travel_Rarely,Sales,9,3,2,Female,1,Sales Representative,Single,2760,1,No,3,3,0,2,3,3,2,2,2,2
47,No,Travel_Rarely,Human Resources,26,4,4,Female,3,Manager,Married,19658,3,No,3,3,1,27,2,3,5,2,1,0
27,No,Travel_Rarely,Research & Development,5,3,3,Female,3,Research Scientist,Single,2478,1,Yes,3,2,0,4,2,2,4,3,1,2
52,No,Non-Travel,Research & Development,19,4,4,Male,3,Research Scientist,Married,4258,0,No,3,1,1,5,3,3,4,3,1,2
40,No,Travel_Rarely,Sales,7,4,2,Male,3,Manager,Single,19833,1,No,3,2,0,21,3,2,21,8,12,8
37,No,Travel_Rarely,Research & Development,7,4,4,Male,3,Research Scientist,Married,4284,5,Yes,4,3,1,16,2,3,5,3,0,4
37,No,Travel_Frequently,Sales,4,4,1,Male,3,Sales Representative,Divorced,2793,4,No,3,3,1,13,2,3,9,8,5,8
44,No,Travel_Rarely,Research & Development,2,3,3,Female,4,Healthcare Representative,Married,7879,1,Yes,3,2,1,9,2,3,8,7,6,7
33,No,Travel_Frequently,Sales,25,3,2,Female,3,Sales Executive,Married,4539,1,No,3,1,1,10,3,2,10,7,0,1
39,No,Travel_Frequently,Research & Development,1,1,2,Male,3,Manager,Divorced,19197,1,Yes,3,3,1,21,3,3,21,8,1,6
30,No,Travel_Frequently,Research & Development,2,4,4,Female,2,Research Scientist,Single,4968,0,No,3,4,0,10,2,3,9,7,0,7
21,No,Travel_Rarely,Sales,5,1,3,Male,3,Sales Representative,Single,2380,1,Yes,3,4,0,2,6,3,2,2,1,2
36,No,Non-Travel,Sales,1,5,4,Female,3,Sales Executive,Single,6653,4,No,3,2,0,7,6,3,1,0,0,0
32,No,Non-Travel,Research & Development,15,4,3,Female,3,Healthcare Representative,Divorced,6667,5,No,3,2,1,9,6,3,5,1,1,2
50,No,Travel_Rarely,Research & Development,2,3,3,Male,3,Research Director,Married,17639,5,No,3,4,0,30,3,3,4,3,0,3
38,No,Travel_Rarely,Research & Development,9,2,2,Male,3,Research Scientist,Divorced,4771,2,No,3,4,2,10,0,4,5,2,0,3
49,No,Travel_Frequently,Research & Development,10,4,3,Female,3,Research Director,Single,18665,9,Yes,3,4,0,22,4,3,3,2,1,2
21,Yes,Travel_Rarely,Research & Development,18,1,4,Female,3,Research Scientist,Single,2693,1,No,3,1,0,1,3,2,1,0,0,0
31,No,Travel_Frequently,Research & Development,7,2,3,Female,2,Manufacturing Director,Married,8943,1,No,4,1,1,10,2,3,10,9,8,9
30,No,Travel_Rarely,Sales,5,3,4,Female,2,Sales Executive,Divorced,6118,1,No,3,3,3,10,2,3,10,9,1,2
36,No,Travel_Rarely,Sales,3,4,1,Female,3,Sales Executive,Single,9278,3,Yes,3,4,0,15,3,3,5,4,0,1
49,No,Travel_Rarely,Research & Development,7,3,2,Male,2,Healthcare Representative,Single,10965,8,No,4,3,0,26,2,3,5,2,0,0
49,No,Travel_Rarely,Research & Development,1,2,3,Female,2,Healthcare Representative,Single,13964,7,Yes,3,4,0,25,2,3,7,1,0,7
34,No,Travel_Rarely,Research & Development,9,3,4,Male,3,Healthcare Representative,Divorced,8500,0,No,3,4,1,10,0,2,9,7,1,6
41,No,Travel_Rarely,Research & Development,19,2,3,Male,3,Research Scientist,Divorced,3072,2,No,3,1,2,17,2,2,1,0,0,0
38,No,Travel_Rarely,Sales,10,2,1,Female,3,Sales Executive,Married,5343,1,No,3,3,1,10,1,3,10,7,1,9
33,No,Travel_Rarely,Research & Development,13,1,2,Female,3,Research Scientist,Single,3452,3,No,3,1,0,5,4,3,3,2,0,2
43,No,Travel_Rarely,Human Resources,2,3,2,Male,3,Human Resources,Single,3539,0,No,3,2,0,10,5,3,9,7,1,8
31,Yes,Travel_Rarely,Sales,20,3,2,Female,1,Sales Executive,Married,4559,3,Yes,3,3,1,4,2,3,2,2,2,2
37,No,Travel_Rarely,Research & Development,1,3,4,Female,2,Manufacturing Director,Married,6474,1,No,3,2,1,14,2,2,14,8,3,11
33,No,Travel_Rarely,Research & Development,7,3,3,Male,3,Research Director,Married,11691,0,No,3,4,0,14,3,4,13,9,3,7
20,Yes,Travel_Rarely,Research & Development,10,1,4,Male,3,Research Scientist,Single,1009,1,Yes,3,4,0,1,5,3,1,0,1,1
32,Yes,Travel_Frequently,Research & Development,5,2,1,Female,4,Research Scientist,Single,2432,3,Yes,3,1,0,8,2,3,4,1,0,3
32,No,Travel_Frequently,Research & Development,13,3,3,Female,2,Laboratory Technician,Married,2743,1,No,4,3,1,2,2,3,2,2,2,2
56,No,Non-Travel,Research & Development,1,4,3,Male,3,Healthcare Representative,Divorced,6306,1,No,4,1,1,13,2,2,13,12,1,9
