front,back
a little,すこしい
ageing/old,としをとっています
bad,わるい
beautiful,きれい
between,あいだ
big,おおきい
black,くろい
blue,あおい
boring,つまらない
busy,いそがしい
cheap,やすい
cold,さむい
cold (food),つめたい
cool,すすしい
crowded,こみます
cute,かわいい
dangerous,あぶない
difficult,むずかしい
dirty,きたない
early,はやく
easy,やさしい
expensive,たかい
famous,ゆうめい
far,とおい
fast,はやい
few,すくない
fun,たのしい
funny,おかしい
good,いい
heavy,おもい
high,たかい
hot,あつい
important,たいせつ
inproficient,へた
interesting,おもしろい
itchy,かゆい
kind/helpful,しんせつ
late,おそく
light,かるい
lonely/deserted,さびしい
long,ながい
loud,うろさい
low,ひくい
many,おおい
more,もっと
near,ちかい
new,あたらしい
no money,びんぼ
not busy,まま
not tasty,まずい
often,よく
old,ふるい
old (age),としより
proficient,じょうず
quiet,しずか
red,あかい
round,まるい
same,おなじ
scary,こわい
short,みじかい
sick,びょうき
slow,おそい
small,ちいさい
smelly,くさい
soft/gentle/tender,やわらかい
square,しかくい
strong,つよい
tasty,おいしい
tired,ねむい
unusual,へん
useful,べんり
very tired,くたくた
warm,あたたかい
well,げんき
white,しろい
yellow,きいろい
young age,わかい
