front,back
above,うえ
address,じゅうしょ
adult,おとな
aeroplane,ひこうき
ambulance,きゅうきゅうしゃ
and,と
answer,こたえ
apple,りんご
artist,がか
ashtray,はいざら
author,さっか
back of flat thing,うら
bag,かばん
baseball,やきゅう
bath,おふろ
beard,ひげ
below,した
beside,となり
bicycle,じてんしゃ
bill,おかんじょ
birthday,たんじょうび
boat,ふね
body,からだ
bones,ほね
book,ほん
bread,ぱん
business,かいしゃ
business card,めいし
businessman,かいしゃいん
cake,けき
car,くるま or じどうしゃ
chair,いす
change (money),おつり
child,こども
China,ちゅうごく
chopsticks,はし
citrus fruit,みかん
classroom,きょうしつ
clothes,ふく
cloud,くもり
colour,いろ
consultant,そうだん
container,はこ
conversation,かいわ
cooking,????
corner,かど
cough,かせ
country,くに
cushion,ざぶとん
customer,おきゃくさん
daytime,ひる
desire,ほしい
desk,つくえ
diary,にっき
distress,なやみ
doctor,おいしゃさん
dream,ゆめ
drinks,のみもの
east,ひがし
egg,たまご
elevator,えれぺいたあ
entrance,いりぐち
envelope,ふうとう
eraser,けしごむ
evening,よる
exactly,ちょうど
exit,でぐち
face,かお
female,おんなのひと
female nurse,かんごふさん
fight,けんか
fire,かじ
fire engine,しょうぼうしゃ
flowers,はな
food,たべもの
front of flat thing,おもて
fruit,くだもの
glasses,めがぬ
hat,ぼうし
here,ここ
hobby,しゅみ
holiday,やすみ
hometown,いなか
homework,????
house,うち
however,でも
immigration,いみぐれいしょん
in front of,まえ
inside,なか
interview,めんせつ
introductions,じこしょうかい
Japan,にほん
job,しごと
key,かぎ
landlord,おやさん
leather,かわ
left,ひだり
letter,てがみ
lightbulb,でんき
lollies,おかし
love,あい
machine,きかい
magazine,ざっし
male,おとこのひと
male nurse,かんごしさん
mandarine,みかん
many,たくさん
map,ちず
marriage,けっこん
matches,まっち
meal,ごはん
meat,にく
medical patient,かんじゃ
medicine,くすり
meeting,かいぎ
milk,ぎゅいにゅう
money,おかね
moon,つき
movie,えいが
much,とても
music,おんがく
musician,おんがくが
name,なまえ
newspaper,しんぶん
no,いいえ
north,きた
novel,しょうせつ
outside,そと
pain,いたい
paper,かみ
part-time job,アルベイト
pencil,えんぴつ
photo,しゃしん
place,ところ
poetry,し
police station,こうばん
policeman,????
politics,せいじ
post office,????
postcard,はがき
price,だい
question,しつもん
rain,あめ
reading material,よみもの
reception,うせつせ
relationship,かんけ
rent,やちん
rest,きゅうけい
result,けっか
right,みぎ
ring,ゆびわ
room,へや
rubbish,ごみ
ruler,ものさし
sake,さけ
school,がっこう
shoes,くつ
shopping,かいもの
sky,そら
snow,ゆき
soap,せっけん
socks,くつした
song,うた
south,みなみ
sports,スポ-ツ
stamp,きって
star,ほし
stomach,おなか
straight,ますぐ
student,????
study,べんっきゅう
subway ticket,きっぷ
sugar,さとう
sun,はれ
sunset,ひぐれ
sushi,すし
tea,おちゃ
teacher,せんせい
tearoom,おちゃしつ
telephone,でんわ
things,もの
toilet,といれ
train driver,うんてんしゅ
travel,りょこう
tree,き
tyres/wheels,しゃ
umbrella,かさ
vacuuming/cleaning,そうじ
vegetables,やさい
vehicles,のりもの
wall,かべ
wallet,さいふ
washing,せんたく
watch,とけい
water,みず
weather,てんき
west,にし
window,まど
word,ことば
work,しごと
world,せかい
writer,さか
