front,back
approximately,ごろ
Are you well?,おげんきですか
can x,x ができます
do your best please,がんばてください
don't know,しりません
Excuse me,すみません
Excuse me (entering room),しつれいします
for example,ととえば
get well soon,おだいじに
go straight ahead,ますぐいって
Good evening,こんばんは
Good morning,おはようございます
Good night,おやすみなさい
Goodbye,さよなら
Hello,こんにちは
I can't eat,たべられません
I have a blocked nose,はながつまります
I have a cough,せきがでます
I have a headache,あたまがいたいです
I have a runny nose,はなみずがでます
I have a sore throat,のどがいたいです
I have a temperature,ねつがあります
I have a toothache,はがいたいです
I sneeze,くしゅみがでます
I'm hungry,おなかがすきました
My eye is red,めがあかいです
ok,だいじょうぶ
perhaps,たぶん
Please,どうぞ
please go first,おさきにしつれいします
please stop,とまてください
See you later,じゃあまたね
start!,はじめて
starting from ...,... から
Thank you (casual),????
Thank you (polite),????
Thank you very much,????
that book near you,そのほん
that book over there,あのほん
that near you,それ
that over there,あれ
therefore,だから
this book near me,このほん
this near me,これ
welcome back,おかいりなさい
when?,いつ
where,どこ
which?,どの
yoohoo,ごめんください
