front,back
afternoon,ごご
ago,まえ
always,いつも
anniversary,きねんび
April,しがつ
August,はちがつ
autumn,あき
December,じゅうにがつ
every day,まいにち
every month,まいつき
every morning,まいあさ
every week,まいしゅう
every year,まいとし
February,にがつ
how do you do it?,どうしますか
January,いちがつ
July,しちがつ
June,ろくがつ
last month,せんげつ
last night,ゆうべ
last week,せんしゅう
last year,きょねん
later,あとで
March,さんがつ
May,ごがつ
morning,ごぜん/あさ
never,????
next,つぎ
next,こんど
next day,つぎのひ
next month,らいげつ
next week,らいしゅう
next year,らいねん
night,よろ
noon,ひろ
November,じゅういちがつ
now,????
October,じゅうがつ
seldom,あまり
September,くがつ
sometimes,????
spring,はる
summer,なつ
this month,こんげつ
this week,こんしゅう
this year,ことし
today,きょう
tomorrow,あした
tonight,????
two days ago,おととい
weekend,しゅうまつ
winter,ふゆ
yesterday,きのう
