front,back
age,とります
arrive/attach,つきます
be late,おくれます
become cloudy,くもります
boil/cook,たく
born,うまれます
break,こわれます
brush,みがきます
buy,かいます
call,よびます
catch a cold,かぜをひきます
change (clothes),きがえます
climb,のばります
close,しめます
collect,あつめます
comb,ときます
come,きます
confuse identity,まちがえます
consider,かんがえます
cross (bridge),わたります
cuddle,たきます
cut (hair),きります
dance,おどります
die,しにます
discard,すてます
do,します
do best,がんばります
drink,のみます
drop,おとします
eat,たべます
enter,はいります
exist,"います, あります"
exit,でます
fall,ふります
fix,なおします
get (cold),ひきます
get angry,おこります
get beaten,きけます
get drunk,よっぱらいます
get fat,ふとります
get off,おります
get tired,つかれます
give,あげます
give injection,ちゅうしゃをします
go,いきます
go and get,とりにいきます
go on holiday,やすみます
go through,とおります
listen,ききます
help,てつだいます
hurry,いそぎます
imitate,まねをします
kill,ころします
laugh,わらいます
learn,ならいます
leave behind,わすれます
lend,かします
lift,もちます
like,すき
live at,すみます
lose (e.g. shoe),なくします
make,つくります
make mistake,ちがいます
meet,あいます
melt,とかします
need,いります
open,あけます
operate,しゅうじゅつをします
pass,わたします
pay,はらいます
perform music,えんそうします
place,おきます
play,あそびます
play,ひけます
post,だします
push,おします
put in,いれます
quit,やめます
read,よみます
remove clothes,ぬぎます
repair/improve,なおります
return,かえります
ride on,のります
run,はしります
say/call,いいます
see,みます
sell,うります
shave,そります
show,みせます
sing,うたいます
sit,すわります
sleep,ねます
slip,すべります
smoke/inhale,すいます
speak,はなします
stand,たちます
start,はじまります
stay (hotel/friend),とまります
stop,おわります
stop,とめます
swim,およぎます
take (duration),かかります
take (person/dog),つれます
take care,きをつけて
take photos,とります
teach,おしえます
think,おもいます
touch,"さわります (に)"
transfer train/bus,のりかえます
turn,まがります
turn off,けします
turn on,つけます
understand,わかります
use,つかいます
use phone,かけます
vomit,はきます
wait,まちます
wake up,おきます
walk,あるきます
wash,あらいます
wear (accessories),します
wear (glasses),かけます
wear (neck down),きます
wear (on head),かぶります
wear (waist down),はきます
work,はたらきます
write,かきます
