front,back
Alfred Deakin (1),1903 - 1904
Alfred Deakin (2),1905 - 1908
Alfred Deakin (3),1909 - 1910
Andrew Fisher (1),1908 - 1909
Andrew Fisher (2),1910 - 1913
Andrew Fisher (3),1914 - 1915
Arthur Fadden,1941 - 1941
Ben Chifley,1945 - 1949
Billy Hughes (1),1915 - 1916
Billy Hughes (2),1916 - 1917
Billy Hughes (3),1917 - 1923
Bob Hawke,1983 - 1991
Chris Watson,1904 - 1904
Edmund Barton,1901 - 1903
Frank Forde,1945 - 1945
Gough Whitlam,1972 - 1975
Harold Holt,1966 - 1967
James Scullin,1929 - 1932
John Curtin,1941 - 1945
John Gorton,1968 - 1971
John Howard,1996 - 2007
John McEwen,1967 - 1968
Joseph Cook,1913 - 1914
Joseph Lyons,1932 - 1939
Julia Gillard,2010 - 2013
Kevin Rudd (1),2007 - 2010
Kevin Rudd (2),2013 - 2013
Malcolm Fraser,1975 - 1983
Malcolm Turnbull,2015 -
Paul Keating,1991 - 1996
Robert Menzies (1),1939 - 1941
Sir Earle Page,1939 - 1939
Sir George Reid,1904 - 1905
Sir Robert Menzies (2),1949 - 1966
Stanley Bruce,1923 - 1929
Tony Abbott,2013 - 2015
William McMahon,1971 - 1972
