runner,gender,yard,start,split1,split2,split3,finish
496,M,1,0,3.93,25.28,49.08,53.27
496,M,2,0,3.82,23.52,47.2,52.98
496,M,3,0.02,3.77,22.82,44.85,50.55
496,M,4,0.03,3.65,20.22,40.02,44.22
496,M,5,0.03,3.72,22.97,46.33,51.23
496,M,6,0,3.88,23.92,46.75,51
496,M,7,0.03,3.83,22.28,41.43,45.63
496,M,8,0.03,3.58,22.28,43.93,48.12
496,M,9,0.02,3.62,25.75,45.48,49.82
496,M,10,0.02,3.65,20.8,39.77,43.9
496,M,11,0.05,3.65,18.25,34.88,38.42
496,M,12,0.08,3.47,17.67,33.28,37.03
496,M,13,0.02,3.53,18.48,34.52,38.4
496,M,14,0.03,3.78,20.28,40.08,44.03
496,M,15,0.02,3.93,21.17,39.28,43.43
496,M,16,0.03,4.55,20.77,37.33,41.35
496,M,17,0.03,3.63,18.5,35.7,39.57
496,M,18,0.05,4.12,23.77,44.42,49.67
496,M,19,0.07,4.23,22.77,38.93,42.65
496,M,20,0.07,3.73,20,38.5,42.55
496,M,21,0.08,4.07,22.7,43.73,48.17
496,M,22,0.08,4.15,24.38,45.23,49.85
496,M,23,0.1,5.83,25.5,44.28,48.75
496,M,24,0.12,4.08,25.07,43,47.27
496,M,25,0.12,3.77,18.52,33.35,36.9
496,M,26,0.13,4.12,25.15,44,49.27
496,M,27,0.13,4.2,23.23,43.28,47.75
496,M,28,0.15,4.13,20.98,41.25,45.08
496,M,29,0.15,4.02,22.93,43.38,47.43
496,M,30,0.17,4.18,24,44.97,49.02
496,M,31,0.17,4.1,22.03,42.67,46.92
496,M,32,0.17,7.32,24.57,44.57,48.87
496,M,33,0.18,4.23,23.27,44.2,48.42
496,M,34,0.18,3.95,21.65,39.87,45.03
496,M,35,0.22,4.05,20.12,37.78,42.48
496,M,36,0.23,4.52,20.85,38.23,42.87
496,M,37,0.25,4.52,20.68,38.17,42.4
496,M,38,0.28,4.93,24.23,45.25,49.5
496,M,39,0.05,4.48,20.97,39.95,44.58
496,M,40,0.03,4.23,20.82,38.75,43.82
496,M,41,0.08,5.15,22.27,41.2,45.35
496,M,42,0.07,5.02,24.2,44.42,49.37
496,M,43,0.07,5.37,22.32,42.32,46.5
496,M,44,0.05,4.83,21.25,39.15,43.25
496,M,45,0.07,4.88,21.15,39.17,43.53
496,M,46,0.12,5.57,24.45,46.03,50.53
496,M,47,0.1,4.77,25.42,45.92,50.4
496,M,48,0.1,4.42,19.85,36.97,40.83
496,M,49,0.1,4.98,23.92,43.83,48.85
496,M,50,0.13,4.87,23.9,44.5,49.13
496,M,51,0.15,5.18,24.45,43.37,47.72
496,M,52,0.02,4.82,23.5,43.87,48.55
496,M,53,0.03,4.77,23.87,43.6,48.02
496,M,54,0.05,4.1,20.98,39.08,43.18
496,M,55,0.07,4.13,21.6,42.4,46.45
496,M,56,0.05,4.08,21.98,41.28,45.58
496,M,57,0.07,4.02,22.62,43.05,47.52
496,M,58,0.08,4.63,21.78,40.1,44.62
496,M,59,0.07,4.32,20.25,37.85,41.93
496,M,60,0.07,4.32,19.85,37,41.5
496,M,61,0.12,4.57,20.38,38.55,42.93
496,M,62,0.1,5.17,23.53,44.15,48.5
496,M,63,0.1,4.67,21.63,39.05,43.4
496,M,64,0.13,4.18,22.92,40.77,44.95
496,M,65,0.17,4.38,19.15,37.33,41.57
496,M,66,0.15,4.8,23.03,43.28,47.95
